ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
RCUS,"Arcus Biosciences, .",0001724521,"Arcus Biosciences, Inc.",2026-05-05,10-Q,201.0,345.21,218.73,764.94,,-138.0,-128.0,122.0,29.0,138.0,46.0,16.6,125773162.0,6.08,False,True,2025-10-31,424B5,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:27;144/A:1;4:41;424B5:2;8-K:12;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G/A:3,2026-06-26T07:26:47+00:00
RDHL,Redhill Biopharma .,0001553846,RedHill Biopharma Ltd.,2026-04-27,20-F,,,,,,,,,,,,,50923261000.0,,True,True,2026-05-07,424B5,14,HIGH,LOW,cash_missing | burn_missing,20-F:1;3:10;4:1;424B3:3;424B5:2;6-K:35;6-K/A:1;CORRESP:1;EFFECT:5;F-1:1;F-1/A:1;POS AM:3;S-8:1;SCHEDULE 13G:2;UPLOAD:1,2026-06-26T07:26:48+00:00
RDI,Reading International,0000716634,READING INTERNATIONAL INC,2026-05-15,10-Q,5.52,0.01,,5.54,,-2.47,-8.15,,4.75,2.47,0.82,6.7,,,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:2;10-Q:3;4:24;8-K:5;DEF 14A:1,2026-06-26T07:26:50+00:00
RDIB,Reading International,0000716634,READING INTERNATIONAL INC,2026-05-15,10-Q,5.52,0.01,,5.54,,-2.47,-8.15,,4.75,2.47,0.82,6.7,,,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:2;10-Q:3;4:24;8-K:5;DEF 14A:1,2026-06-26T07:26:51+00:00
REGN,"Regeneron Pharmaceuticals, .",0000872589,"REGENERON PHARMACEUTICALS, INC.",2026-04-29,10-Q,2962.6,5791.1,9786.0,18539.7,3486.2,1078.9,727.2,1543.5,,1543.5,514.5,36.0,93955110.0,197.33,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;13F-HR:4;144:7;4:37;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2,2026-06-26T07:26:52+00:00
REVB,"Revelation Biosciences, .",0001810560,"REVELATION BIOSCIENCES, INC.",2026-05-07,10-Q,14.11,0.02,,14.13,,-3.21,-3.01,1.38,1.72,3.21,1.07,13.2,3908420.0,3.62,True,True,2026-02-11,EFFECT,6,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:17;424B3:2;8-K:15;ARS:1;CORRESP:3;DEF 14A:4;EFFECT:2;PRE 14A:4;S-3:2;S-3/A:1;S-8:2;SCHEDULE 13G:3;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:26:53+00:00
RGC,Regencell Bioscience,0001829667,Regencell Bioscience Holdings Ltd,2025-10-31,20-F,2.42,2.48,,4.9,,,,,,,,,494488908.0,0.01,True,True,2026-05-19,424B5,2,HIGH,PARTIAL_CASH_ONLY,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=ShortTermInvestments | burn_missing,20-F:1;3:7;4:2;424B5:2;6-K:10;F-3ASR:1;SCHEDULE 13D/A:1,2026-06-26T07:26:54+00:00
RIGL,"Rigel Pharmaceuticals, .",0001034842,RIGEL PHARMACEUTICALS INC,2026-05-05,10-Q,24.41,279.94,,304.36,,2.73,8.65,11.68,18.07,29.75,9.91,30.7,18502080.0,16.45,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:3;3:1;4:41;8-K:11;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:5,2026-06-26T07:26:56+00:00
RKDA,"Arcadia Biosciences, .",0001469443,"Arcadia Biosciences, Inc.",2026-05-14,10-Q,0.95,2.77,,3.72,4.17,-1.1,-4.38,0.0,,1.1,0.37,10.2,2056884.0,1.81,True,True,2026-02-11,424B3,3,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-K/A:1;10-Q:3;424B3:1;425:2;8-K:12;ARS:1;CORRESP:2;D:1;DEF 14A:1;EFFECT:1;RW:1;S-3:1;S-4/A:1;SCHEDULE 13G:2;UPLOAD:1,2026-06-26T07:26:57+00:00
RLAY,"Relay Therapeutics, .",0001812364,"Relay Therapeutics, Inc.",2026-05-05,10-Q,204.59,,,204.59,,-51.11,-73.29,30.62,11.03,51.11,17.04,12.0,191586165.0,1.07,True,True,2026-05-21,424B5,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:5;3:2;4:36;424B5:2;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:8,2026-06-26T07:26:58+00:00
RLMD,"Relmada Therapeutics, .",0001553643,"RELMADA THERAPEUTICS, INC.",2026-05-12,10-Q,9.78,224.19,,233.96,7.21,-15.07,-19.05,8.09,11.37,15.07,5.02,46.6,104890223.0,2.23,True,True,2026-04-09,EFFECT,6,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:19;424B3:1;424B5:2;8-K:15;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;FWP:1;PRE 14A:1;S-3:1;S-3ASR:1;S-8:1;SCHEDULE 13G:7;SCHEDULE 13G/A:3;UPLOAD:1,2026-06-26T07:26:59+00:00
RNA,"Atrium Therapeutics, .",0002093101,"Atrium Therapeutics, Inc.",2026-05-14,10-Q,267.85,,,267.85,,-31.14,-16.63,16.66,20.26,31.14,10.38,25.8,17105643.0,15.66,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-12B:1;10-12B/A:2;10-Q:1;3:11;4:11;8-K:3;CERT:1;S-8:2;SCHEDULE 13G:3;SEC STAFF ACTION:1,2026-06-26T07:27:00+00:00
RNAC,"Cartesian Therapeutics, .",0001453687,"Cartesian Therapeutics, Inc.",2026-04-30,10-Q,118.64,11.48,,130.12,,-22.14,-39.18,19.46,7.11,22.14,7.38,17.6,29381514.0,4.43,False,False,,,0,UNKNOWN,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:5;3:2;4:24;8-K:14;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:27:02+00:00
RNAZ,"TransCode Therapeutics, .",0001829635,"Transcode Therapeutics, Inc.",2026-05-15,10-Q,12.84,,,12.84,,-4.98,-17.79,5.11,2.22,4.98,1.66,7.7,950302.0,13.51,True,True,2026-05-19,EFFECT,6,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:2;8-K:16;8-K/A:4;ARS:1;CORRESP:1;DEF 14A:2;DEFA14A:8;EFFECT:3;NT 10-K:1;PRE 14A:1;S-1:1;S-3:2;SCHEDULE 13D:1;SCHEDULE 13D/A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3,2026-06-26T07:27:03+00:00
RNTX,"Rein Therapeutics, .",0001420565,"Rein Therapeutics, Inc.",2026-05-15,10-Q,4.45,,,4.45,,-3.42,-5.84,3.07,2.16,3.42,1.14,3.9,85539032.0,0.05,True,True,2026-05-04,424B5,7,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:1;4:9;424B5:3;8-K:14;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:2;DRS:1;EFFECT:2;PRE 14A:1;S-1:2;SCHEDULE 13G:3;SCHEDULE 13G/A:3;UPLOAD:2,2026-06-26T07:27:04+00:00
RPM,RPM International .,0000110621,RPM INTERNATIONAL INC/DE/,2026-04-08,10-Q,294.21,107.9,93.3,495.41,8.38,237.51,51.36,,,,,,127626527.0,3.88,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;11-K:2;144:3;3:2;4:29;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:3;SCHEDULE 13G/A:2;SD:1,2026-06-26T07:27:06+00:00
RPRX,Royalty Pharma,0001802768,Royalty Pharma plc,2026-05-06,10-Q,586.39,,,586.39,8956.44,718.23,294.69,39.79,159.49,199.28,66.43,8.8,388132400.0,1.51,False,True,2025-09-03,424B2,3,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;13F-NT:2;144:29;3:3;4:65;424B2:2;8-K:12;ARS:1;DEF 14A:1;DEFA14A:1;FWP:1;POSASR:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:7,2026-06-26T07:27:07+00:00
RVMD,"Revolution Medicines, .",0001628171,"Revolution Medicines, Inc.",2026-05-06,10-Q,440.94,1467.14,,1908.08,,-354.17,-453.82,343.97,101.25,354.17,118.06,16.2,212596462.0,8.98,True,True,2026-04-15,424B5,6,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:53;3:2;305B2:1;4:69;424B5:5;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;FWP:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:9,2026-06-26T07:27:08+00:00
RXRX,"Recursion Pharmaceuticals, .",0001601830,"RECURSION PHARMACEUTICALS, INC.",2026-05-06,10-Q,654.47,0.0,,654.47,,-81.1,-117.5,87.9,34.59,81.1,27.03,24.2,168320745.0,3.89,True,True,2026-02-25,424B5,1,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:38;3:1;4:70;424B5:1;424B7:3;8-K:12;8-K/A:1;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:4,2026-06-26T07:27:10+00:00
RYTM,"Rhythm Pharmaceuticals, .",0001649904,"RHYTHM PHARMACEUTICALS, INC.",2026-05-05,10-Q,62.14,392.33,,454.47,108.47,-44.19,-55.64,41.73,2.31,44.19,14.73,30.9,68532607.0,6.63,False,True,2025-07-10,424B5,2,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:21;3:1;4:60;424B5:2;8-K:18;ARS:1;DEF 14A:1;DEFA14A:2;S-3ASR:1;S-8:3;SCHEDULE 13G:1;SCHEDULE 13G/A:9,2026-06-26T07:27:11+00:00
SABS,"SAB Biotherapeutics, .",0001833214,"SAB Biotherapeutics, Inc.",2026-05-12,10-Q,20.52,86.87,,107.39,,-14.27,-18.87,13.4,6.6,14.27,4.76,22.6,76464094.0,1.4,True,True,2026-03-19,424B5,7,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:2;4:25;424B3:1;424B5:2;8-K:12;CORRESP:3;D:1;DEF 14A:2;EFFECT:2;PRE 14A:1;S-3:2;S-3/A:1;S-8:2;SCHEDULE 13D:1;SCHEDULE 13D/A:2;SCHEDULE 13G:7;SCHEDULE 13G/A:4;UPLOAD:2,2026-06-26T07:27:12+00:00
SAIC,Science Applications International,0001571123,Science Applications International Corp,2026-06-01,10-Q,109.0,,39.0,148.0,2486.0,127.0,115.0,,,,,,42276819.0,3.5,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;11-K:1;3:3;4:41;8-K:20;8-K/A:1;CORRESP:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G:4;SCHEDULE 13G/A:4;SD:1;UPLOAD:2,2026-06-26T07:27:13+00:00
SANA,"Sana Biotechnology, .",0001770121,"Sana Biotechnology, Inc.",2026-05-11,10-Q,83.8,17.34,5.83,106.96,,-37.38,-47.21,28.72,11.46,37.38,12.46,8.6,278291590.0,0.38,True,True,2026-04-13,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:2;4:21;424B5:3;8-K:14;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:27:14+00:00
SBFM,Sunshine Biopharma .,0001402328,Sunshine Biopharma Inc.,2026-05-13,10-Q,6.91,,,6.91,,-2.07,-1.24,0.03,3.58,2.07,0.69,10.0,5005945.0,1.38,True,True,2026-05-18,EFFECT,6,HIGH,GOOD,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:1;424B3:1;424B4:1;8-K:8;CORRESP:5;DEF 14A:1;DEF 14C:2;DEFA14A:1;DRS:1;DRSLTR:1;EFFECT:2;NT 10-K:1;POS AM:1;PRE 14C:2;RW:1;S-1:2;SCHEDULE 13G:2;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:27:16+00:00
SCI,Service International,0000089089,SERVICE CORP INTERNATIONAL,2026-04-30,10-Q,257.96,,,257.96,5162.82,333.79,135.81,,43.91,43.91,14.64,17.6,138147494.0,1.87,False,False,,,0,UNKNOWN,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;11-K:1;144:14;3:1;4:38;8-K:13;ARS:1;DEF 14A:1;DEFA14A:4;DEFR14A:1;PRE 14A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3,2026-06-26T07:27:18+00:00
SCNI,Scinai Immunotherapeutics .,0001611747,Scinai Immunotherapeutics Ltd.,2026-04-01,20-F,1.66,,,1.66,0.38,-3.06,-3.52,2.0,1.19,3.06,1.02,1.6,13872899584.0,0.0,True,True,2026-05-19,EFFECT,8,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,20-F:1;3:8;4:2;424B3:2;6-K:18;CORRESP:1;EFFECT:3;F-1:1;F-3:1;POS AM:1;S-8:1;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:27:19+00:00
SENS,"Senseonics , .",0001616543,"Senseonics Holdings, Inc.",2026-05-07,10-Q,29.61,34.71,,64.32,,-32.02,-32.33,8.61,6.37,32.02,10.68,6.0,41802965.0,1.54,True,True,2026-05-01,424B5,5,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;25:1;4:51;424B3:1;424B5:2;8-A12B:1;8-K:16;ARS:1;CERT:1;CORRESP:1;DEF 14A:2;DEFA14A:1;DEFR14A:1;EFFECT:1;PRE 14A:2;S-3:1;S-8:2;SCHEDULE 13G/A:1;SD:1;UPLOAD:1,2026-06-26T07:27:20+00:00
SEPN,"Septerna, .",0001984086,"Septerna, Inc.",2026-05-11,10-Q,71.61,275.8,174.69,522.09,,-25.63,-8.64,29.54,10.29,25.63,8.54,61.1,45075533.0,11.58,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:7;3:2;4:25;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G/A:1,2026-06-26T07:27:21+00:00
SER,"Serina Therapeutics, .",0001708599,"Serina Therapeutics, Inc.",2026-05-14,10-Q,24.53,,,24.53,,-4.57,-6.9,3.2,3.08,4.57,1.52,16.1,14997505.0,1.64,True,True,2026-06-03,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;144:3;4:59;8-K:19;CORRESP:1;DEF 14A:2;DEFA14A:2;DEFR14A:1;EFFECT:2;PRE 14A:2;S-3:2;S-8:1;SCHEDULE 13G:1;UPLOAD:1,2026-06-26T07:27:22+00:00
SGI,Somnigroup International .,0001206264,SOMNIGROUP INTERNATIONAL INC.,2026-05-08,10-Q,110.8,,,110.8,1540.0,246.5,104.2,28.7,,28.7,9.57,11.6,210340624.0,0.53,False,False,,,0,HIGH,GOOD,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:5;3:1;4:30;425:4;8-K:19;DEF 14A:1;DEFA14A:2;PRE 14A:1;S-4:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3;SD:1,2026-06-26T07:27:24+00:00
SGMT,Sagimet Biosciences . - Series A,0001400118,Sagimet Biosciences Inc.,2026-05-12,10-Q,36.63,67.91,0.0,104.54,,-8.61,-10.65,7.0,4.72,8.61,2.87,36.4,30674855.0,3.41,True,True,2026-04-28,424B5,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:1;3:1;4:24;424B5:2;8-K:16;ARS:1;DEF 14A:1;S-8:2;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:27:25+00:00
SGP,"SpyGlass Pharma, .",0001778922,"SpyGlass Pharma, Inc.",2026-05-14,10-Q,238.9,,,238.9,,-13.54,-13.82,8.54,6.87,13.54,4.51,52.9,33433355.0,7.15,True,True,2026-01-30,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:1;3:24;4:29;4/A:1;424B4:1;8-A12B:1;8-K:5;CERT:1;DRS:1;DRS/A:1;EFFECT:1;S-1:1;S-1/A:1;S-8:1;SCHEDULE 13D:4;SCHEDULE 13G:2,2026-06-26T07:27:26+00:00
SHPH,"Shuttle Pharmaceuticals , .",0001757499,"Shuttle Pharmaceuticals Holdings, Inc.",2026-05-15,10-Q,1.09,1.64,,2.73,10.0,-2.42,-2.15,0.27,1.16,2.42,0.81,3.4,5851290.0,0.47,True,True,2026-03-09,424B3,9,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:5;4:5;424B3:3;8-K:21;ARS:1;CORRESP:6;D:3;DEF 14A:1;DEFA14A:1;DRS:1;EFFECT:3;PRE 14A:1;S-1:3;S-1/A:2;SCHEDULE 13G/A:1;UPLOAD:3,2026-06-26T07:27:27+00:00
SILO,"Silo Pharma, .",0001514183,"Silo Pharma, Inc.",2026-05-14,10-Q,3.9,2.13,,6.03,,-0.82,-1.65,1.01,0.03,0.82,0.27,22.0,16266593.0,0.37,True,True,2026-04-16,424B3,11,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:3;424B3:3;424B5:2;8-K:12;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:3;POS AM:2;PRE 14A:2;S-1:1;SCHEDULE 13G:2;SCHEDULE 13G/A:5,2026-06-26T07:27:28+00:00
SION,"Sionna Therapeutics, .",0002036042,"Sionna Therapeutics, Inc.",2026-05-12,10-Q,63.32,,,63.32,,-21.84,-26.78,18.96,10.64,21.84,7.28,8.7,45150330.0,1.4,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:66;144/A:1;3:1;4:52;8-K:5;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13D/A:3;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:27:29+00:00
SKYE,"Skye Bioscience, .",0001516551,"Skye Bioscience, Inc.",2026-05-11,10-Q,8.15,8.96,,17.11,0.07,-8.56,-12.51,1.79,4.74,8.56,2.85,6.0,35143722.0,0.49,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;3/A:1;4:20;8-K:12;8-K/A:1;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;PREM14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:1,2026-06-26T07:27:30+00:00
SLDB,Solid Biosciences .,0001707502,Solid Biosciences Inc.,2026-05-12,10-Q,297.1,40.75,,337.85,,-47.23,-56.74,46.14,11.17,47.23,15.74,21.5,98449606.0,3.43,True,True,2026-03-31,EFFECT,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:22;3:1;4:57;424B7:1;8-K:5;ARS:1;CORRESP:2;DEF 14A:1;DEFA14A:1;EFFECT:2;PRE 14A:1;S-3:2;S-8:1;SCHEDULE 13D/A:6;SCHEDULE 13G:2;SCHEDULE 13G/A:5;UPLOAD:2,2026-06-26T07:27:32+00:00
SLN,Silence Therapeutics - American Depository Share,0001479615,Silence Therapeutics plc,2026-05-07,10-Q,5.66,64.42,,70.08,,-15.6,-14.96,9.12,7.03,15.6,5.2,13.5,141703840.0,0.49,True,True,2026-05-27,EFFECT,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:14;424B5:1;8-K:13;8-K/A:1;ARS:1;DEF 14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13G/A:1,2026-06-26T07:27:33+00:00
SLXN,Silexion Therapeutics,0002022416,Silexion Therapeutics Corp,2026-05-15,10-Q,2.41,,,2.41,,-3.65,-2.73,1.37,1.38,3.65,1.22,2.0,4189954.0,0.58,True,True,2026-06-18,EFFECT,20,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;4:18;424B3:7;424B4:1;8-K:36;8-K/A:1;CORRESP:4;D:1;DEF 14A:4;DEFA14A:4;EFFECT:6;POS AM:2;PRE 14A:4;S-1:2;S-3:3;S-8:3;SCHEDULE 13D/A:4;SCHEDULE 13G:4;SCHEDULE 13G/A:4;UPLOAD:2,2026-06-26T07:27:34+00:00
SMMT,Summit Therapeutics .,0001599298,Summit Therapeutics Inc.,2026-04-30,10-Q,106.52,492.22,,598.73,,-122.29,-189.42,132.62,62.59,122.29,40.76,14.7,776162645.0,0.77,True,True,2026-06-10,424B5,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:22;424B5:2;8-K:14;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;S-3ASR:2;S-8:1,2026-06-26T07:27:35+00:00
SNDX,"Syndax Pharmaceuticals, .",0001395937,Syndax Pharmaceuticals Inc,2026-04-30,10-Q,130.89,221.17,,352.06,350.0,-50.34,-42.67,58.84,37.59,50.34,16.78,21.0,88610027.0,3.97,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:14;4:20;8-K:11;ARS:1;DEF 14A:1;DEFA14A:2;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:5,2026-06-26T07:27:37+00:00
